province,city,area,phase_or_block,sub_block,category,plot_type,rate_pkr,rate_unit,source_type,source_document,source_page,effective_date,notes
Sindh,Karachi,Bahria Town,Precinct 2,,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,1,2024-11-01,
Sindh,Karachi,Bahria Town,Precinct 5,,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,1,2024-11-01,
Sindh,Karachi,Bahria Town,Precinct 8,,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,1,2024-11-01,
Sindh,Karachi,Bahria Town,Precinct 19,,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,1,2024-11-01,
Sindh,Karachi,Bahria Town,Jinnah Commercial,,Commercial,Regular,12000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,1,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 1,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,3,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 2,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,3,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 3,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,3,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 4,,Residential,Regular,8000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 6,,Residential,Regular,8000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 7,,Residential,Regular,8000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 17,,Residential,Regular,8000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,,,Residential,Regular,5000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,3,2024-11-01,Excluding blocks 4 6 7 17
Sindh,Karachi,Gulshan-e-Iqbal,Block 1,,Commercial,Regular,20000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,3,2024-11-01,
Sindh,Karachi,Gulshan-e-Iqbal,Block 4,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,PECHS,,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,4,2024-11-01,Pakistan Employees Cooperative Housing Society
Sindh,Karachi,PECHS,,,Commercial,Regular,20000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,4,2024-11-01,
Punjab,Lahore,DHA,Phase 1,,Residential,Regular,1550000,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 1,,Commercial,Regular,6193570,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 2,,Residential,Regular,1527800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 2,,Commercial,Regular,6242100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 3,,Residential,Regular,1732800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 3,,Commercial,Regular,6362100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 4,,Residential,Regular,1672800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
